Date,Open,High,Low,Close,Adj Close,Volume
07.11.2021 01:00:00,61534,63341,61446.5,63340.5,63340.5,1858409777
08.11.2021 01:00:00,63340.5,67900,63340.5,67623.5,67623.5,3919841348
09.11.2021 01:00:00,67623.5,68601,66217,66969.5,66969.5,3687157422
10.11.2021 01:00:00,66969.5,69182.5,62222,64907.5,64907.5,5984002291
11.11.2021 01:00:00,64907.5,65627,64169,64852.5,64852.5,2150802726
13.11.2021 01:00:00,64168.5,65050,63409.5,64415,64415,1533913589
12.11.2021 01:00:00,64852.5,65567,62301,64168.5,64168.5,3476920008
14.11.2021 01:00:00,64415,65561,63633,65560.5,65560.5,1968201925
15.11.2021 01:00:00,65560.5,66400,63200,63608.5,63608.5,2692448079
16.11.2021 01:00:00,63608.5,63608.5,58391,60124.5,60124.5,5333064820
17.11.2021 01:00:00,60124.5,60827,58403,60370,60370,2781324870
18.11.2021 01:00:00,60370,61008.5,56474.5,56926,56926,4315370185
19.11.2021 01:00:00,56926,58333,55650,58114.5,58114.5,2228111474
20.11.2021 01:00:00,58114.5,59912,57439.5,59723,59723,1615803787
22.11.2021 01:00:00,58660,59545,55650,56283,56283,3358812554
24.11.2021 01:00:00,57582,57785,55925,57214,57214,1668235762
23.11.2021 01:00:00,56283,57889.5,55200,57582,57582,2660591106
25.11.2021 01:00:00,57214,59451.5,57071.5,58999.5,58999.5,1825160466
28.11.2021 01:00:00,54763,57492,53304.5,57336,57336,1920193772
26.11.2021 01:00:00,58999.5,59189.5,53564,53795,53795,3761228350
27.11.2021 01:00:00,53795,55307.5,53667,54763,54763,1432629756
30.11.2021 01:00:00,57835,59260,55950,56979,56979,3451658722
29.11.2021 01:00:00,57336,58896.5,56679,57835,57835,1966414047
01.12.2021 01:00:00,56979,59128.5,56521.5,57220,57220,2599523401
21.11.2021 01:00:00,59723,60096.5,58372,58660,58660,1636514844
02.12.2021 01:00:00,57220,57430,55780,56531,56531,2370168792
03.12.2021 01:00:00,56531,57724,51350,53634.5,53634.5,3956942915
04.12.2021 01:00:00,53634.5,53850,41274,49206.5,49206.5,6437681400
05.12.2021 01:00:00,49206.5,49738,47827,49432,49432,1747142346
06.12.2021 01:00:00,49432,50898,47142,50475.5,50475.5,2368654225
07.12.2021 01:00:00,50475.5,51957,50067,50627.5,50627.5,1692750852
09.12.2021 01:00:00,50480,50808,47354,47567,47567,2025953070
08.12.2021 01:00:00,50627.5,51283,48426,50480,50480,1751653824
10.12.2021 01:00:00,47567,50237,46858.5,47148.5,47148.5,2278756769
